Titulo,Detalles_Genero_Duracion,Horarios_Funciones
La Isla Olvidada,"La Isla Olvidada | La Isla Olvidada | 16 de septiembre de 2026 | | | Animación | , | Aventura | , | Comedia | / | EE.UU. | Dirigida por | Joel Crawford | Reparto | H.E.R. | , | Dave Franco | , | Jenny Slate | Título original | Forgotten Island","11:15, 13:30, 15:45, 17:55, 20:10, 22:30"
La Copia Perfecta,"La Copia Perfecta | La Copia Perfecta | 10 de septiembre de 2026 | | | Drama | / | Francia | , | Bélgica | Dirigida por | Jean-Paul Salomé | Reparto | Reda Kateb | , | Sara Giraudeau | , | Bastien Bouillon | Título original | L’Affaire Bojarski","11:20, 14:00, 16:50, 19:30, 22:20"
Hechizo de Amor: La magia continúa,"Hechizo de Amor: La magia continúa | Hechizo de Amor: La magia continúa | 10 de septiembre de 2026 | | | Fantasía | , | Romántico | / | EE.UU. | Dirigida por | Susanne Bier | Reparto | Nicole Kidman | , | Sandra Bullock | , | Joey King | Título original | Practical Magic 2","12:30, 15:30, 18:20, 21:15"
El Club del Pie Izquierdo,"El Club del Pie Izquierdo | El Club del Pie Izquierdo | 10 de septiembre de 2026 | | | Comedia | / | México | Dirigida por | Celso R. García | Reparto | Adrian Uribe (II) | , | Mónica Huarte | , | Mauricio Isaac","14:20, 16:35, 18:50, 21:05"
Cars 20° Aniversario,"Cars 20° Aniversario | Cars 20° Aniversario | 10 de septiembre de 2026 | | | Animación | , | Comedia | , | Familia | / | EE.UU. | Dirigida por | John Lasseter | , | Joe Ranft | Reparto | Owen Wilson | , | Paul Newman | , | Bonnie Hunt | Título original | Cars 20th Anniversary",16:00
Oasis: Don't Look Back In Anger,"Oasis: Don't Look Back In Anger | Oasis: Don't Look Back In Anger | 10 de septiembre de 2026 | | | Documental | / | Gran Bretaña | Dirigida por | Dylan Southern | , | Will Lovelace | Reparto | Liam Gallagher | , | Noel Gallagher | , | Paul Arthurs","16:10, 19:05"
Coyote vs. ACME,"Coyote vs. ACME | Coyote vs. ACME | 27 de agosto de 2026 | | | Animación | , | Aventura | , | Comedia | / | EE.UU. | Dirigida por | Dave Green | Reparto | John Cena | , | Will Forte | , | Lana Condor","11:30, 12:50, 13:45, 15:05, 17:20, 18:30, 19:45, 22:10"
Zona Cero,"Zona Cero | Zona Cero | 3 de septiembre de 2026 | | | Terror | / | Corea del Sur | Dirigida por | Sang-Ho Yeon | Reparto | Gianna Jun | , | Kyo-hwan Koo | , | Ji Chang-Wook | Título original | Gunche","11:40, 14:15, 17:40, 20:25"
PAW Patrol: La Dino Película,"PAW Patrol: La Dino Película | PAW Patrol: La Dino Película | 13 de agosto de 2026 | | | Animación | , | Aventura | , | Comedia | / | EE.UU. | Dirigida por | Cal Brunker | Reparto | Mckenna Grace | , | Meredith MacNeill | , | Jennifer Hudson | Título original | PAW Patrol: The Dino Movie",12:10
El final de la calle Oak,"El final de la calle Oak | El final de la calle Oak | 13 de agosto de 2026 | | | Acción | , | Aventura | , | Ciencia ficción | / | EE.UU. | Dirigida por | David Robert Mitchell | Reparto | Anne Hathaway | , | Ewan McGregor | , | Christian Convery | Título original | The End Of Oak Street",12:20
Spider-Man: Un Nuevo Día,"Spider-Man: Un Nuevo Día | Spider-Man: Un Nuevo Día | 29 de julio de 2026 | | | Acción | , | Aventura | , | Ciencia ficción | / | EE.UU. | Dirigida por | Destin Daniel Cretton | Reparto | Tom Holland | , | Zendaya | , | Sadie Sink | Título original | Spider-Man: Brand New Day","13:15, 20:55"
Gungo y los juegos cavernícolas,"Gungo y los juegos cavernícolas | Gungo y los juegos cavernícolas | 3 de septiembre de 2026 | | | Animación | / | México | Dirigida por | Rodolfo Riva Palacio | , | Gabriel Riva Palacio | Reparto | Silvia Navarro | , | Humberto Vélez | , | Daniel Sosa","14:45, 17:00"
La Noche Del Demonio: Están Entre Nosotros,"La Noche Del Demonio: Están Entre Nosotros | La Noche Del Demonio: Están Entre Nosotros | 20 de agosto de 2026 | | | Terror | / | EE.UU. | Dirigida por | Jacob Chase | Reparto | Amelia Eve | , | Island Austin | , | Lin Shaye | Título original | Insidious: Out of the Further","19:15, 21:40"
La Odisea,"La Odisea | La Odisea | 16 de julio de 2026 | | | Acción | , | Fantasía | / | EE.UU. | Dirigida por | Christopher Nolan | Reparto | Matt Damon | , | Tom Holland | , | Anne Hathaway | Título original | The Odyssey",21:50
